No.,System Call,No.,System Call,No.,System Call,No.,System Call
0,restart_syscall,18,sys_stat,36,sync,54,ioctl
1,exit,19,lseek,37,kill,55,fcntl
2,fork,20,getpid,38,rename,56,sys_mpx
3,read,21,mount,39,mkdir,57,setpgid
4,write,22,umount,40,rmdir,58,sys_ulimit
5,open,23,setuid,41,dup,59,sys_olduname
6,close,24,getuid,42,pipe,60,umask
7,sys_waitpid,25,stime,43,times,61,chroot
8,creat,26,ptrace,44,sysy_prof,62,ustat
9,link,27,alarm,45,brk,63,dup2
10,unlink,28,sys_fstat,46,setgid,64,getppid
11,execve,29,pause,47,getgid,65,getpgrp
12,chdir,30,utime,48,sys_signal,66,setsid
13,time,31,sys_stty,49,geteuid,67,sigaction
14,mknod,32,sys_gtty,50,getegid,68,sys_sgetmask
15,chmod,33,access,51,acct,69,sys_ssetmask
16,lchown,34,nice,52,umount2,70,setreuid
17,sys_break,35,sys_ftime,53,sys_lock,71,setregid
72,sigsuspend,99,statfs,126,sigprocmask,153,munlockall
73,sigpending,100,fstatfs,127,sys_create_module,154,sched_setparam
74,sethostname,101,sys_ioperm,128,init_module,155,sched_getparam
75,setrlimit,102,socketcall,129,delete_module,156,sched_setscheduler
76,getrlimit,103,syslog,130,sys_get_kernel_syms,157,sched_getscheduler
77,getrusage,104,setitimer,131,quotactl,158,sched_yield
78,gettimeofday,105,getitimer,132,getpgid,159,sched_get_priority_max
79,settimeofday,106,stat,133,fchdir,160,sched_get_priority_min
80,getgroups,107,lstat,134,bdflush,161,sched_rr_get_interval
81,setgroups,108,fstat,135,sysfs,162,nanosleep
82,select,109,sys_uname,136,personality,163,mremap
83,symlink,110,sys_iopl,137,sys_afs_syscall,164,setresuid
84,sys_lstat,111,vhangup,138,setfsuid,165,getresuid
85,readlink,112,sys_idle,139,setfsgid,166,sys_vm86
86,uselib,113,syscall,140,_llseek,167,sys_query_module
87,swapon,114,wait4,141,getdents,168,poll
88,reboot,115,swapoff,142,_newselect,169,nfsservctl
89,readdir,116,sysinfo,143,flock,170,setresgid
90,mmap,117,ipc,144,msync,171,getresgid
91,munmap,118,fsync,145,readv,172,prctl
92,truncate,119,sigreturn,146,writev,173,rt_sigreturn
93,ftruncate,120,clone,147,getsid,174,rt_sigaction
94,fchmod,121,setdomainname,148,fdatasync,175,rt_sigprocmask
95,fchown,122,uname,149,_sysctl,176,rt_sigpending
96,getpriority,123,sys_modify_ldt,150,mlock,177,rt_sigtimedwait
97,setpriority,124,adjtimex,151,munlock,178,rt_sigqueueinfo
98,sys_profil,125,mprotect,152,mlockall,179,rt_sigsuspend
180,pread64,209,getresuid32,237,fremovexattr,264,clock_getres
181,pwrite64,210,setresgid32,238,tkill,265,clock_nanosleep
182,chown,211,getresgid32,239,sendfile64,266,statfs64
183,getcwd,212,chown32,240,futex,267,fstatfs64
184,capget,213,setuid32,241,sched_setaffinity,268,tgkill
185,capset,214,setgid32,242,sched_getaffinity,269,utimes
186,sigaltstack,215,setfsuid32,243,io_setup,270,arm_fadvise64_64
187,sendfile,216,setfsgid32,244,io_destroy,271,pciconfig_iobase
190,vfork,217,getdents64,245,io_getevents,272,pciconfig_read
191,ugetrlimit,218,pivot_root,246,io_submit,273,pciconfig_write
192,mmap2,219,mincore,247,io_cancel,274,mq_open
193,truncate64,220,madvise,248,exit_group,275,mq_unlink
194,ftruncate64,221,fcntl64,249,lookup_dcookie,276,mq_timedsend
195,stat64,222,tux,250,epoll_create,277,mq_timedreceive
196,lstat64,224,gettid,251,epoll_ctl,278,mq_notify
197,fstat64,225,readahead,252,epoll_wait,279,mq_getsetattr
198,lchown32,226,setxattr,253,remap_file_pages,280,waitid
199,getuid32,227,lsetxattr,254,set_thread_area,281,socket
200,getgid32,228,fsetxattr,255,get_thread_area,282,bind
201,geteuid32,229,getxattr,256,set_tid_address,283,connect
202,getegid32,230,lgetxattr,257,timer_create,284,listen
203,setreuid32,231,fgetxattr,258,timer_settime,285,accept
204,setregid32,232,listxattr,259,timer_gettime,286,getsockname
205,getgroups32,233,llistxattr,260,timer_getoverrun,287,getpeername
206,setgroups32,234,flistxattr,261,timer_delete,288,socketpair
207,fchown32,235,removexattr,262,clock_settime,289,send
208,setresuid32,236,lremovexattr,263,clock_gettime,290,sendto
291,recv,316,inotify_init,341,arm_sync_file_range,366,accept4
292,recvfrom,317,inotify_add_watch,342,tee,367,fanotify_init
293,shutdown,318,inotify_rm_watch,343,vmsplice,368,fanotify_mark
294,setsockopt,319,mbind,344,move_pages,369,prlimit64
295,getsockopt,320,get_mempolicy,345,getcpu,370,name_to_handle_at
296,sendmsg,321,set_mempolicy,346,epoll_pwait,371,open_by_handle_at
297,recvmsg,322,openat,347,kexec_load,372,clock_adjtime
298,semop,323,mkdirat,348,utimensat,373,syncfs
299,semget,324,mknodat,349,signalfd,374,sendmmsg
300,semctl,325,fchownat,350,timerfd_create,375,setns
301,msgsnd,326,futimesat,351,eventfd,376,process_vm_readv
302,msgrcv,327,fstatat64,352,fallocate,377,process_vm_writev
303,msgget,328,unlinkat,353,timerfd_settime,378,kcmp
304,msgctl,329,renameat,354,timerfd_gettime,379,finit_module
305,shmat,330,linkat,355,signalfd4,380,sched_setattr
306,shmdt,331,symlinkat,356,eventfd2,381,sched_getattr
307,shmget,332,readlinkat,357,epoll_create1,382,renameat2
308,shmctl,333,fchmodat,358,dup3,383,seccomp
309,add_key,334,faccessat,359,pipe2,384,getrandom
310,request_key,335,pselect6,360,inotify_init1,385,memfd_create
311,keyctl,336,ppoll,361,preadv,386,bpf
312,semtimedop,337,unshare,362,pwritev,387,execveat
313,vserver,338,set_robust_list,363,rt_tgsigqueueinfo,388,userfaultfd
314,ioprio_set,339,get_robust_list,364,perf_event_open,389,membarrier
315,ioprio_get,340,splice,365,recvmmsg,390,mlock2
